epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8883,1.35281,1.63428,2.50043,1.11655,0.99133,0.91814,0.99108,0.69095,0.99241,0.91914,0.9912,0.74496,0.94121,0.90273,1.88983,0.93345,0.000551221,0.000551221,0.000551221
2,25.8422,1.035,1.08192,1.35916,0.98162,0.98134,0.98925,0.99342,0.77688,0.98134,0.98925,0.99342,0.75567,0.81851,0.89112,0.89366,0.89384,0.00105708,0.00105708,0.00105708
3,39.474,0.96213,1.01978,1.14017,0.94935,0.98686,0.988,0.99418,0.80232,0.98669,0.98979,0.99428,0.73779,0.77552,0.80584,0.95817,0.88933,0.00151292,0.00151292,0.00151292
4,54.1827,0.89193,0.98061,1.03698,0.93043,0.97452,0.99573,0.99247,0.83238,0.97452,0.99573,0.99247,0.77451,0.66233,0.70329,0.7092,0.86308,0.00144195,0.00144195,0.00144195
5,66.5746,0.82891,0.88435,0.89624,0.90302,0.99169,0.99356,0.99438,0.84107,0.99169,0.99356,0.99438,0.80748,0.65447,0.69125,0.69926,0.86417,0.00136694,0.00136694,0.00136694
6,78.3794,0.79625,0.82156,0.84886,0.89592,0.99584,0.991,0.99483,0.85694,0.99584,0.991,0.99483,0.80627,0.61685,0.59061,0.55266,0.83818,0.00129193,0.00129193,0.00129193
7,90.1385,0.7538,0.79533,0.77718,0.90052,0.99747,1,0.99499,0.87777,0.99747,1,0.99499,0.79625,0.55813,0.63196,0.50185,0.83298,0.00121691,0.00121691,0.00121691
8,102.987,0.7611,0.78515,0.73066,0.88162,0.99922,1,0.995,0.87561,0.99922,1,0.995,0.82884,0.56299,0.57431,0.52654,0.8252,0.0011419,0.0011419,0.0011419
9,117.225,0.71412,0.75111,0.68111,0.87239,0.99933,1,0.995,0.87515,0.99933,1,0.995,0.8296,0.5543,0.52508,0.46925,0.82067,0.00106688,0.00106688,0.00106688
10,129.698,0.67404,0.69072,0.62903,0.86361,0.9919,1,0.99474,0.87901,0.9919,1,0.99474,0.82282,0.52592,0.53278,0.4589,0.81462,0.000991865,0.000991865,0.000991865
11,168.517,0.625,0.63494,0.63613,0.85673,0.99904,1,0.995,0.89286,0.99904,1,0.995,0.81911,0.51018,0.57106,0.44888,0.81167,0.00091685,0.00091685,0.00091685
12,181.672,0.5752,0.59153,0.57687,0.84424,0.99628,1,0.99497,0.89055,0.99628,1,0.99497,0.84881,0.4791,0.4701,0.43772,0.80218,0.000841835,0.000841835,0.000841835
13,194.662,0.57039,0.55843,0.55439,0.847,0.99957,1,0.995,0.89761,0.99957,1,0.995,0.84492,0.48037,0.50621,0.41626,0.80423,0.00076682,0.00076682,0.00076682
14,207.71,0.55368,0.56313,0.52319,0.84085,0.99745,1,0.99493,0.9069,0.99745,1,0.99493,0.85307,0.45069,0.45065,0.39745,0.79988,0.000691805,0.000691805,0.000691805
15,221.549,0.53821,0.55069,0.50069,0.83737,0.99879,1,0.99499,0.91128,0.99879,1,0.99499,0.84522,0.43866,0.45336,0.38727,0.79306,0.00061679,0.00061679,0.00061679
16,235.179,0.51277,0.51212,0.47654,0.83018,0.99962,1,0.995,0.91804,0.99962,1,0.995,0.86163,0.41596,0.42703,0.35676,0.78604,0.000541775,0.000541775,0.000541775
17,246.71,0.49018,0.49767,0.45782,0.82259,0.99856,1,0.99497,0.9241,0.99856,1,0.99497,0.84457,0.40879,0.46261,0.36075,0.78711,0.00046676,0.00046676,0.00046676
18,258.037,0.47216,0.51883,0.44458,0.81282,0.99953,0.99998,0.995,0.92552,0.99953,0.99998,0.995,0.8339,0.39138,0.48809,0.34099,0.78618,0.000391745,0.000391745,0.000391745
19,269.509,0.45781,0.51072,0.42842,0.80718,0.99949,1,0.995,0.92642,0.99949,1,0.995,0.85221,0.38646,0.40121,0.32952,0.78052,0.00031673,0.00031673,0.00031673
20,280.825,0.43205,0.46667,0.40682,0.8069,0.99973,1,0.995,0.93735,0.99973,1,0.995,0.85289,0.3601,0.39928,0.31519,0.77498,0.000241715,0.000241715,0.000241715
