epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.822,0.58215,1.65117,1.69748,0.91078,0.9996,1,0.995,0.95497,0.9956,0.996,0.99414,0.60509,0.31444,1.13803,1.59659,0.82501,0.000661333,0.000661333,0.000661333
2,31.7095,0.56607,1.12452,1.02806,0.90055,0.99987,1,0.995,0.93082,0.99987,1,0.995,0.70298,0.36851,0.93463,0.79069,0.83006,0.00126824,0.00126824,0.00126824
3,45.1557,0.54678,1.03279,0.84616,0.88244,0.99984,1,0.995,0.92594,0.99984,1,0.995,0.78365,0.37493,0.69183,0.58073,0.83454,0.00181515,0.00181515,0.00181515
4,57.8121,0.51504,1.00368,0.73577,0.87271,0.99985,1,0.995,0.92617,0.99985,1,0.995,0.79324,0.38133,0.65476,0.4554,0.83548,0.00173,0.00173,0.00173
5,71.0876,0.50001,0.91042,0.63814,0.87262,0.99984,1,0.995,0.94764,0.99984,1,0.995,0.78034,0.35424,0.67264,0.42552,0.82459,0.00164,0.00164,0.00164
6,84.1658,0.45943,0.90183,0.57494,0.86573,0.99982,1,0.995,0.97782,0.99982,1,0.995,0.81205,0.25082,0.63331,0.39413,0.80657,0.00155,0.00155,0.00155
7,97.0681,0.43032,0.84753,0.5289,0.85987,0.99987,1,0.995,0.9714,0.99987,1,0.995,0.82321,0.2621,0.59049,0.3582,0.80846,0.00146,0.00146,0.00146
8,109.874,0.40987,0.82781,0.47213,0.85026,0.99982,1,0.995,0.9863,0.99982,1,0.995,0.82728,0.23765,0.57585,0.30823,0.80488,0.00137,0.00137,0.00137
9,122.677,0.39596,0.84274,0.42811,0.85131,0.99988,1,0.995,0.97661,0.99988,1,0.995,0.82633,0.24514,0.55894,0.30132,0.80321,0.00128,0.00128,0.00128
10,135.785,0.36381,0.77279,0.40579,0.84468,0.99989,1,0.995,0.98883,0.99989,1,0.995,0.84474,0.21461,0.53378,0.27509,0.79968,0.00119,0.00119,0.00119
11,177.294,0.282,0.63582,0.38991,0.78421,0.99983,1,0.995,0.98363,0.99983,1,0.995,0.84332,0.23709,0.52605,0.30917,0.80453,0.0011,0.0011,0.0011
12,190.902,0.26486,0.58673,0.34971,0.78945,0.99989,1,0.995,0.98268,0.99989,1,0.995,0.85392,0.24262,0.50577,0.2799,0.80244,0.00101,0.00101,0.00101
13,204.27,0.24573,0.55313,0.31821,0.78026,0.99989,1,0.995,0.98257,0.99989,1,0.995,0.87386,0.23579,0.46711,0.25281,0.79904,0.00092,0.00092,0.00092
14,216.763,0.24797,0.54909,0.29972,0.78217,0.99989,1,0.995,0.99494,0.99989,1,0.995,0.88034,0.19217,0.46456,0.19558,0.79419,0.00083,0.00083,0.00083
15,229.309,0.22528,0.53051,0.26357,0.77328,0.99989,1,0.995,0.99273,0.99989,1,0.995,0.8752,0.20124,0.45305,0.20011,0.79532,0.00074,0.00074,0.00074
16,241.979,0.21003,0.52233,0.24398,0.76497,0.99989,1,0.995,0.99491,0.99989,1,0.995,0.88604,0.17858,0.44068,0.18526,0.79252,0.00065,0.00065,0.00065
17,255.507,0.1965,0.5044,0.23142,0.77215,0.99989,1,0.995,0.995,0.99989,1,0.995,0.88702,0.15482,0.42838,0.16092,0.78999,0.00056,0.00056,0.00056
18,269.142,0.19912,0.5003,0.22486,0.77123,0.99989,1,0.995,0.99492,0.99989,1,0.995,0.8858,0.16676,0.42874,0.16121,0.79204,0.00047,0.00047,0.00047
19,281.482,0.18442,0.50499,0.20457,0.76431,0.99989,1,0.995,0.99494,0.99989,1,0.995,0.89059,0.15173,0.41919,0.14952,0.78757,0.00038,0.00038,0.00038
20,293.797,0.16917,0.48393,0.18738,0.76283,0.99989,1,0.995,0.995,0.99989,1,0.995,0.89156,0.13414,0.41612,0.139,0.78613,0.00029,0.00029,0.00029
